antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Detergen - Rinso'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.254,0.228,0.068,0.2677165354330709,1.174195330846802,1.0,0.010088,1.0542365591397849,0.1988645324081375,0.1642512077294686,0.05144628942107627,0.2829810747340793
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Detergen - Rinso'}),0.228,0.254,0.068,0.2982456140350877,1.174195330846802,1.0,0.010088,1.06305,0.1921670222493142,0.1642512077294686,0.05931047457786555,0.2829810747340793
frozenset({'Kain Lap Meja - QuickWipe'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.226,0.228,0.048,0.21238938053097345,0.9315323707498835,1.0,-0.0035280000000000034,0.980179775280899,-0.08672566371681424,0.11822660098522167,-0.02022100967490487,0.21145784816022356
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Kain Lap Meja - QuickWipe'}),0.228,0.226,0.048,0.21052631578947367,0.9315323707498835,1.0,-0.0035280000000000034,0.9804,-0.08693081017149623,0.11822660098522167,-0.0199918400652795,0.21145784816022356
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Kain Pel - SoftDry'}),0.228,0.254,0.07,0.30701754385964913,1.208730487636414,1.0,0.012088000000000002,1.076506329113924,0.2236861584011843,0.16990291262135926,0.07106909364564226,0.29130404752037575
frozenset({'Kain Pel - SoftDry'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.254,0.228,0.07,0.2755905511811024,1.2087304876364138,1.0,0.012088000000000002,1.065695652173913,0.23148219073152052,0.16990291262135926,0.061645791685365756,0.29130404752037575
frozenset({'Lap Serbaguna - MicroWipe'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.22,0.228,0.064,0.2909090909090909,1.2759170653907494,1.0,0.013839999999999998,1.0887179487179488,0.27724358974358965,0.16666666666666666,0.08148845972680166,0.2858054226475279
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Lap Serbaguna - MicroWipe'}),0.228,0.22,0.064,0.2807017543859649,1.2759170653907494,1.0,0.013839999999999998,1.084390243902439,0.28011658031088077,0.16666666666666666,0.07782276203328832,0.2858054226475279
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Pembersih Kaca - GlassBright'}),0.228,0.208,0.05,0.2192982456140351,1.0543184885290149,1.0,0.002576000000000002,1.0144719101123596,0.06673575129533683,0.1295336787564767,0.014265461633882717,0.22984143049932526
frozenset({'Pembersih Kaca - GlassBright'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.208,0.228,0.05,0.24038461538461542,1.0543184885290149,1.0,0.002576000000000002,1.0163037974683544,0.0650505050505051,0.1295336787564767,0.016042247907532916,0.22984143049932526
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Pembersih Serbaguna - Mr. Muscle'}),0.228,0.252,0.048,0.21052631578947367,0.835421888053467,1.0,-0.009455999999999999,0.9474666666666667,-0.2033023735810113,0.11111111111111112,-0.05544610188573039,0.20050125313283207
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Pewangi Ruangan - FreshAir'}),0.228,0.21,0.054,0.23684210526315788,1.1278195488721805,1.0,0.0061200000000000004,1.0351724137931035,0.14680483592400692,0.140625,0.033977348434377073,0.24699248120300754
frozenset({'Pewangi Ruangan - FreshAir'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.21,0.228,0.054,0.2571428571428572,1.1278195488721805,1.0,0.0061200000000000004,1.0392307692307692,0.14345991561181434,0.140625,0.03774981495188752,0.24699248120300754
frozenset({'Sarung Tangan Karet - HandySafe'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.22,0.228,0.058,0.26363636363636367,1.1562998405103668,1.0,0.00784,1.048395061728395,0.17329796640141465,0.14871794871794872,0.04616109279321717,0.2590111642743222
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Sarung Tangan Karet - HandySafe'}),0.228,0.22,0.058,0.2543859649122807,1.1562998405103668,1.0,0.00784,1.0461176470588236,0.175093800250134,0.14871794871794872,0.04408457040035989,0.2590111642743222
frozenset({'Sikat WC - ToiletMate'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.244,0.228,0.062,0.2540983606557377,1.1144664941041127,1.0,0.006367999999999999,1.034989010989011,0.13585936166581325,0.15121951219512195,0.033806166652509975,0.2630140926085706
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Sikat WC - ToiletMate'}),0.228,0.244,0.062,0.2719298245614035,1.114466494104113,1.0,0.006367999999999999,1.0383614457831325,0.13304362360020053,0.15121951219512195,0.0369442123828089,0.2630140926085706
frozenset({'Alat Pel Spray - SwifterJet'}),frozenset({'Spons Cuci - ScrubPro'}),0.228,0.24,0.06,0.2631578947368421,1.0964912280701755,1.0,0.00528,1.0314285714285714,0.11398963730569948,0.14705882352941177,0.030470914127423816,0.256578947368421
frozenset({'Spons Cuci - ScrubPro'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.24,0.228,0.06,0.25,1.0964912280701753,1.0,0.00528,1.0293333333333334,0.11578947368421053,0.14705882352941177,0.02849740932642486,0.256578947368421
frozenset({'Tempat Sampah - EcoBin'}),frozenset({'Alat Pel Spray - SwifterJet'}),0.216,0.228,0.048,0.22222222222222224,0.9746588693957116,1.0,-0.0012479999999999991,0.9925714285714285,-0.03209876543209875,0.12121212121212122,-0.007484168105929755,0.21637426900584794
